1				
108				
1	-1	6.12574E-17	0	
2	-1	6.12574E-17	-0.25	
3	-1	6.12574E-17	-0.5	
4	-1	6.12574E-17	-0.75	
5	-1	6.12574E-17	-1	
6	-1	6.12574E-17	-1.25	
7	-1	6.12574E-17	-1.5	
8	-1	6.12574E-17	-1.75	
9	-1	6.12574E-17	-2	
10	-0.866025404	0.5	0	
11	-0.866025404	0.5	-0.25	
12	-0.866025404	0.5	-0.5	
13	-0.866025404	0.5	-0.75	
14	-0.866025404	0.5	-1	
15	-0.866025404	0.5	-1.25	
16	-0.866025404	0.5	-1.5	
17	-0.866025404	0.5	-1.75	
18	-0.866025404	0.5	-2	
19	-0.707106781	0.707106781	0	
20	-0.707106781	0.707106781	-0.25	
21	-0.707106781	0.707106781	-0.5	
22	-0.707106781	0.707106781	-0.75	
23	-0.707106781	0.707106781	-1	
24	-0.707106781	0.707106781	-1.25	
25	-0.707106781	0.707106781	-1.5	
26	-0.707106781	0.707106781	-1.75	
27	-0.707106781	0.707106781	-2	
28	-0.5	0.866025404	0	
29	-0.5	0.866025404	-0.25	
30	-0.5	0.866025404	-0.5	
31	-0.5	0.866025404	-0.75	
32	-0.5	0.866025404	-1	
33	-0.5	0.866025404	-1.25	
34	-0.5	0.866025404	-1.5	
35	-0.5	0.866025404	-1.75	
36	-0.5	0.866025404	-2	
37	6.12574E-17	1	0	
38	6.12574E-17	1	-0.25	
39	6.12574E-17	1	-0.5	
40	6.12574E-17	1	-0.75	
41	6.12574E-17	1	-1	
42	6.12574E-17	1	-1.25	
43	6.12574E-17	1	-1.5	
44	6.12574E-17	1	-1.75	
45	6.12574E-17	1	-2	
46	0.5	0.866025404	0	
47	0.5	0.866025404	-0.25	
48	0.5	0.866025404	-0.5	
49	0.5	0.866025404	-0.75	
50	0.5	0.866025404	-1	
51	0.5	0.866025404	-1.25	
52	0.5	0.866025404	-1.5	
53	0.5	0.866025404	-1.75	
54	0.5	0.866025404	-2	
55	0.707106781	0.707106781	0	
56	0.707106781	0.707106781	-0.25	
57	0.707106781	0.707106781	-0.5	
58	0.707106781	0.707106781	-0.75	
59	0.707106781	0.707106781	-1	
60	0.707106781	0.707106781	-1.25	
61	0.707106781	0.707106781	-1.5	
62	0.707106781	0.707106781	-1.75	
63	0.707106781	0.707106781	-2	
64	0.866025404	0.5	0	
65	0.866025404	0.5	-0.25	
66	0.866025404	0.5	-0.5	
67	0.866025404	0.5	-0.75	
68	0.866025404	0.5	-1	
69	0.866025404	0.5	-1.25	
70	0.866025404	0.5	-1.5	
71	0.866025404	0.5	-1.75	
72	0.866025404	0.5	-2	
73	1	-6.12574E-17	0	
74	1	-6.12574E-17	-0.25	
75	1	-6.12574E-17	-0.5	
76	1	-6.12574E-17	-0.75	
77	1	-6.12574E-17	-1	
78	1	-6.12574E-17	-1.25	
79	1	-6.12574E-17	-1.5	
80	1	-6.12574E-17	-1.75	
81	1	-6.12574E-17	-2	
82	-0.75	4.59431E-17	-2	
83	-0.5	3.06287E-17	-2	
84	-0.25	1.53144E-17	-2	
85	-0.649519053	0.375	-2	
86	-0.433012702	0.25	-2	
87	-0.216506351	0.125	-2	
88	-0.530330086	0.530330086	-2	
89	-0.353553391	0.353553391	-2	
90	-0.176776695	0.176776695	-2	
91	-0.375	0.649519053	-2	
92	-0.25	0.433012702	-2	
93	-0.125	0.216506351	-2	
94	4.59431E-17	0.75	-2	
95	3.06287E-17	0.5	-2	
96	1.53144E-17	0.25	-2	
97	0.375	0.649519053	-2	
98	0.25	0.433012702	-2	
99	0.125	0.216506351	-2	
100	0.530330086	0.530330086	-2	
101	0.353553391	0.353553391	-2	
102	0.176776695	0.176776695	-2	
103	0.649519053	0.375	-2	
104	0.433012702	0.25	-2	
105	0.216506351	0.125	-2	
106	0.75	-4.59431E-17	-2	
107	0.5	-3.06287E-17	-2	
108	0.25	-1.53144E-17	-2	
87				
1	2	1	10	11
2	3	2	11	12
3	4	3	12	13
4	5	4	13	14
5	6	5	14	15
6	7	6	15	16
7	8	7	16	17
8	9	8	17	18
9	11	10	19	20
10	12	11	20	21
11	13	12	21	22
12	14	13	22	23
13	15	14	23	24
14	16	15	24	25
15	17	16	25	26
16	18	17	26	27
17	20	19	28	29
18	21	20	29	30
19	22	21	30	31
20	23	22	31	32
21	24	23	32	33
22	25	24	33	34
23	26	25	34	35
24	27	26	35	36
25	29	28	37	38
26	30	29	38	39
27	31	30	39	40
28	32	31	40	41
29	33	32	41	42
30	34	33	42	43
31	35	34	43	44
32	36	35	44	45
33	38	37	46	47
34	39	38	47	48
35	40	39	48	49
36	41	40	49	50
37	42	41	50	51
38	43	42	51	52
39	44	43	52	53
40	45	44	53	54
41	47	46	55	56
42	48	47	56	57
43	49	48	57	58
44	50	49	58	59
